step, result, scipy result, diff
1e-05, 0.999999998800017, 1.0, 1.199983001853866e-09
0.0001, 0.9999999700010002, 1.0, 2.999899983979759e-08
0.0002, 0.9999998800079997, 1.0, 1.1999200033585566e-07
0.0003, 0.9999995201279994, 0.9999999699749998, 4.4984700042771664e-07
0.0004, 0.999999520064001, 1.0, 4.799359990537155e-07
0.0005, 0.9999992501249999, 1.0, 7.498750000944909e-07
0.0006, 0.9999995201279989, 0.9999998797680001, 3.596400012240153e-07
0.0007, 0.9999995201279992, 0.9999997296029999, 2.0947500067869385e-07
0.0008, 0.9999980805120003, 1.0, 1.9194879996575764e-06
0.0009, 0.9999970020000005, 0.999999969273, 2.9672729994212332e-06
0.001, 0.9999970009999993, 1.0, 2.9990000006696604e-06
0.002, 0.999988008, 1.0, 1.1992000000016212e-05
0.003, 0.9999521279999998, 0.999996975, 4.484700000018105e-05
0.004, 0.9999520639999997, 0.9999999999999999, 4.793600000019271e-05
0.005, 0.9999251249999999, 0.9999999999999999, 7.487500000002978e-05
0.006, 0.9999521279999999, 0.9999877679999999, 3.564000000000345e-05
0.007, 0.9994970510000003, 0.9999966549999999, 0.0004996039999995983
0.008, 0.9998090240000003, 0.999999488, 0.00019046399999977925
0.009, 0.999702, 0.9999962730000002, 0.0002942730000001781
0.01, 0.9997010000000002, 1.0, 0.0002989999999998272
