step, result, scipy result, diff
1e-05, 0.07992543566445381, 0.07993342215875839, 7.98649430457099e-06
0.0001, 0.07985357512603661, 0.07993342215875839, 7.984703272177762e-05
0.001, 0.07913674288608558, 0.0799334221587585, 0.0007966792726729205
0.02, 0.0647562474978508, 0.07993342217647782, 0.015177174678627017
0.03, 0.06475630728458977, 0.08811885050419586, 0.023362543219606097
0.04, 0.051172716806064056, 0.07993289166494616, 0.028760174858882104
0.05, 0.04497814283039822, 0.07993342285109709, 0.034955280020698865
0.06, 0.02879136466413398, 0.06475469323058926, 0.035963328566455274
0.07, 0.009797999656813655, 0.08811609919579547, 0.0783180995389818
0.08, 0.01279658775876692, 0.05117271953309168, 0.03837613177432476
0.09, 0.016194534713910493, 0.06475631310653604, 0.04856177839262554
0.1, 0.0199916708323414, 0.07993343324607909, 0.059941762413737686
